employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
1766831818,Walter,Stone,Walter.Stone@company.com,2023-04-20,Sales Manager,Sales,52874,,793 Peterson Manor Suite 380,Heathershire,NV,14646,1981-08-24,
1766831819,aaron,TORRES,Aaron.Torres@company.com,2016-11-19,HR Generalist,HR,"$147,933",1766831818,3359 Brown Pike,South Cherylborough,CO,12691,2000-11-14,Active
1766831820,debra,Gordon,debra.gordon@COMPANY.COM,2021-02-26,Business Intelligence Analyst,Analytics,"$84,363",N/A,716 Nguyen Parkways,Annetteberg,OK,97747,1962-05-01,Active
1766831821,tammy,David,Tammy.Davidcompany.com,2019-12-03,Talent Acquisition Specialist,HR,82759,1766831818,56366 Hale Terrace,Meganhaven,GU,32928,1995-06-30,On Leave
1766831822,Dennis,Owens,Dennis.Owens@company.com,2023-06-24,Data Analyst,Analytics,"$85,092",1766831818,38615 Arias Mews,Brooksfort,LA,34931,1979-12-13,ACTIVE
1766831823,Jennifer,Hood,Jennifer.Hood@company.com,2018-11-12,Account Executive,Sales,"$91,307",1766831818,5250 Christopher Way Suite 030,Michellebury,GU,20744,1997-05-25,Terminated
1766831824,jennifer,Curry,jennifer.curry@COMPANY.COM,2018-09-08,Learning & Development Lead,HR,123826,1766831818,588 Tammy Road Apt. 115,East Anthonybury,PW,80195,1965-12-12,ACTIVE
1766831825,amber,DAVIS,Amber.Davis@company.com,2024-10-18,Talent Acquisition Specialist,HR,"$96,827",1766831818,7157 Nicole Village Suite 444,South Dustinfort,ID,72260,1988-02-23,
1766831826,Jennifer,Gonzalez,Jennifer.Gonzalez@company.com,2020-05-09,HR Assistant,HR,"$103,151",1766831818,3706 Jennifer Causeway Suite 309,West Zacharyland,VI,58805,1983-09-27,ACTIVE
1766831827,Anthony,STEWART,Anthony.Stewart@company.com,2018-05-05,Talent Acquisition Specialist,HR,"$61,379",N/A,71836 Sanchez Forest,Turnerborough,DE,13518,1999-09-19,
1766831828,John,Greene,John.Greene@company.com,2025-10-09,HR Generalist,HR,"$88,249",1766831818,5634 Eric Extension Apt. 328,Juarezfurt,IL,57844,1991-01-04,Active
1766831829,Seth,Le,Seth.Le@company.com,2019-05-18,sales associate, sales ,"$89,014",1766831818,5644 Heather Glens Suite 879,Danielsstad,NJ,59753,1964-10-11,Active
1766831830,allen,LEE,Allen.Lee@company.com,2019-10-16,Data Analyst,Analytics,"$88,892",,37578 Julia Turnpike Apt. 197,Tylerbury,IN,84563,1979-07-19,
1766831831,Linda,Richards,Linda.Richards@company.com,2019-08-26,HR Assistant,HR,"$50,955",1766831818,17075 Tina Flat,North Daniel,AR,17883,1975-01-18,
1766831832,steven,Mitchell,steven.mitchell@COMPANY.COM,2023-05-27,Data Analyst,Analytics,94784,1766831818,62379 Dominguez Courts,Andersonmouth,WI,62475,1976-03-28,
1766831833,Rachel,KEITH,rachel.keith@COMPANY.COM,2021-10-22,Business Intelligence Analyst,Analytics,131448,1766831818,2408 Angel Lane,Wilkinsonbury,OH,64628,1974-02-25,Active
1766831834,Jose,Foster,Jose.Foster@company.com,2021-10-05,systems administrator, it ,"$103,985",1766831818,56440 Kayla Flat,Donaldstad,IL,96907,1978-02-14,ACTIVE
1766831835,Gabriella,Koch,Gabriella.Kochcompany.com,2018-06-24,Analytics Manager,Analytics,"$143,381",,825 Davis Unions Suite 914,Beckborough,WV,26011,1992-09-17,ACTIVE
1766831836,Willie,JOHNSON,Willie.Johnson@company.com,2017-03-21,HR Assistant,HR,"$49,962",1766831835,48953 Long Corner Apt. 724,South Willie,WV,99177,1994-08-20,Active
1766831837,Joseph,Kelley,Joseph.Kelley@company.com,2023-08-25,Account Executive,Sales,"$44,267",1766831835,29749 Christine Views,West Peterfurt,WA,92962,1984-01-19,
1766831838,nathan,BAKER,Nathan.Baker@company.com,2025-08-26,Sales Associate,Sales,86051,1766831818,10966 Dunn Center Suite 295,Youngview,MO,73028,1972-05-17,On Leave
1766831839,Jack,YOUNG,Jack.Young@company.com,2017-02-23,Sales Associate,Sales,113563,1766831818,62095 Hamilton Lodge Suite 081,East Tiffanyton,NY,38465,1974-10-01,Active
1766831840,benjamin,Mosley,Benjamin.Mosley@company.com,2016-05-21,Product Analyst,Analytics,"$59,530",N/A,44971 Thomas Views Suite 592,Nathanielborough,IL,39293,1966-07-06,On Leave
1766831841,Amanda,RAMSEY,Amanda.Ramsey@company.com,2017-03-02,Product Analyst,Analytics,"$95,343",1766831818,7125 Catherine Court Apt. 725,Wilcoxfort,MN,32041,1975-12-09,ACTIVE
1766831842,Julie,MILLER,Julie.Miller@company.com,2021-12-23,Learning & Development Lead,HR,"$61,699",1766831835,873 James Village Apt. 666,Port Jesseton,DC,25848,1961-02-20,Terminated
1766831843,Carol,Moore,Carol.Moore@company.com,2025-10-23,Account Executive,Sales,121313,1766831818,8086 Wilson Skyway,Fullerview,OK,16684,1993-02-05,ACTIVE
1766831844,Kaitlin,Roberts,Kaitlin.Roberts@company.com,2023-08-06,Security Analyst,IT,54617,1766831818,2978 Garcia Street Apt. 998,West Abigail,TN,33280,1971-07-17,
1766831845,Benjamin,Woods,Benjamin.Woods@company.com,2023-01-20,business development representative, sales ,"$56,370",1766831818,313 Heather Stravenue Apt. 557,Millerburgh,PR,34654,1961-01-17,On Leave
1766831846,Dominique,BLACK,Dominique.Black@company.com,2019-10-04,HR Assistant,HR,"$54,225",1766831835,04032 William Neck Suite 363,North Marcus,FM,28702,1973-08-21,Terminated
1766831847,darren,Reeves,Darren.Reevescompany.com,2024-02-01,IT Manager,IT,"$53,400",1766831835,88780 Evelyn Stravenue Suite 282,North Rachelview,NJ,18648,1970-09-09,On Leave
1766831848,Anthony,DUNCAN,Anthony@Duncan,2022-03-19,security analyst, it ,52120,1766831835,77156 Brandon Expressway,Brownview,AZ,69899,1980-07-19,ACTIVE
1766831849,Kristen,HARRIS,kristen.harris@COMPANY.COM,2021-07-03,hr generalist, hr ,"$114,508",1766831818,732 Figueroa Mission Apt. 626,Port Ryanmouth,AL,00648,1995-01-19,On Leave
1766831850,Evan,Doyle,Evan.Doyle@company.com,2025-07-06,IT Manager,IT,64917,,9520 Tiffany Tunnel Suite 914,North Mollytown,OK,62898,1970-06-26,Active
1766831851,kayla,Kennedy,Kayla.Kennedy@company.com,2017-09-08,it manager, it ,"$66,087",,396 Lewis Mill Apt. 153,Holderside,SD,07348,1980-02-14,Terminated
1766831852,Whitney,Jones,Whitney.Jones@company.com,2016-06-30,Account Executive,Sales,112146,1766831847,51772 Singh Falls Apt. 679,West James,CO,39919,1988-07-31,ACTIVE
1766831853,amber,Perry,Amber.Perry@company.com,2019-02-23,Sales Associate,Sales,68965,1766831851,730 Kenneth Way,West Jamesport,CA,27525,1975-04-15,ACTIVE
1766831854,jason,BARR,Jason.Barr@company.com,2017-02-11,Talent Acquisition Specialist,HR,137915,1766831851,25135 Griffin Mountain,Holmesview,GA,23901,2000-07-03,Active
1766831855,wendy,ALEXANDER,Wendy@Alexander,2019-03-25,Product Analyst,Analytics,"$77,319",1766831835,2070 Shields Summit,Meganchester,TX,06966,1976-02-01,
1766831856,douglas,Jones,Douglas.Jones@company.com,2022-09-27,account executive, sales ,143137,1766831850,8055 Daniel Mountains,Port Emily,GA,72565,1973-01-31,ACTIVE
1766831857,Carrie,Clark,Carrie.Clark@company.com,2018-01-05,IT Manager,IT,"$142,092",11164,774 Garcia Dam Suite 772,East Eduardo,ME,77604,1981-03-02,ACTIVE
1766831858,Dale,Moore,Dale.Moore@company.com,2024-03-23,DevOps Engineer,IT,92789,1766831835,10643 Christopher Courts,Lake Heidiborough,PW,77619,1980-05-09,On Leave
1766831859,Veronica,Smith,Veronica.Smith@company.com,2025-09-05,Business Intelligence Analyst,Analytics,"$52,058",1766831857,109 Linda Corners,Lake Candicetown,DE,56640,1985-03-24,Terminated
1766831860,evan,Martin,Evan.Martin@company.com,2021-11-12,IT Manager,IT,"$139,117",1766831857,8855 Burton Neck Suite 543,East Karenstad,WV,17426,1978-07-21,
1766831861,daniel,Contreras,Daniel.Contreras@company.com,2020-08-12,Business Intelligence Analyst,Analytics,144456,1766831818,47431 Moody Flats,East Thomasland,TN,37513,1981-01-07,Terminated
1766831862,robin,Martin,Robin.Martin@company.com,2027-03-30,Sales Operations Analyst,Sales,40029,1766831818,09620 Gina Causeway,Susanshire,IA,91488,1984-07-05,Terminated
1766831863,derek,JOHNSON,Derek.Johnsoncompany.com,2022-05-29,Learning & Development Lead,HR,131006,1766831851,194 Cook Village Apt. 143,Annatown,NE,00714,2003-03-24,Active
1766831864,Molly,Lindsey,Molly.Lindsey@company.com,2020-10-13,DevOps Engineer,IT,"$86,817",1766831860,1454 Garcia Walk Apt. 284,Amyborough,MS,03385,1972-07-13,On Leave
1766831865,Jessica,Livingston,Jessica.Livingston@company.com,2020-12-11,product analyst, analytics ,"$58,627",,55092 Brian Lock Apt. 575,New Tony,MO,81514,1994-01-12,On Leave
1766831866,ray,WEAVER,Ray.Weaver@company.com,2020-06-07,Analytics Manager,Analytics,43327,,198 Koch Squares Apt. 701,West Dianafort,FL,91796,2003-02-28,ACTIVE
1766831867,albert,Bentley,Albert@Bentley,2016-06-25,Business Intelligence Analyst,Analytics,"$84,320",N/A,532 Kimberly Mountains,Hernandezfort,NH,39676,1975-08-30,Active
1766831868,Matthew,PARK,Matthew.Park@company.com,2017-06-02,Sales Associate,Sales,69767,1766831850,26705 Harris Station,South Bryanmouth,CA,77931,1985-09-20,ACTIVE
