employee_id,first_name,last_name,full_name,email,email_domain,hire_date,job_title,department,salary,salary_band,manager_id,address,city,state,zip_code,birth_date,age,tenure_years,status
1766820320,Aaron,Baker,Aaron Baker,aaron.baker@company.com,company.com,2021-07-08,Security Analyst,IT,61581,MID,1766820277,44938 Carolyn Heights,Gomezfort,SC,41798,1970-03-09,55,4,ACTIVE
1766820584,Aaron,Hull,Aaron Hull,aaron.hull@company.com,company.com,2020-09-06,Hr Manager,HR,131509,SENIOR,1766820469,384 Kevin Forest,Marisaborough,NV,65046,1963-07-10,62,5,ON LEAVE
1766820598,Aaron,Jackson,Aaron Jackson,aaron.jackson@company.com,company.com,2022-09-01,Sales Operations Analyst,SALES,128326,SENIOR,,5976 Ethan Ranch,Kimberlyport,PR,60429,1969-07-10,56,3,ACTIVE
1766820098,Aaron,Long,Aaron Long,aaron.long@company.com,company.com,2020-10-01,Learning & Development Lead,HR,78331,MID,1766819579,561 Phillips Summit,Jamesbury,WV,53378,1973-09-02,52,5,ACTIVE
1766820579,Aaron,Payne,Aaron Payne,aaron.payne@company.com,company.com,2025-10-28,Data Engineer,ANALYTICS,99270,SENIOR,1766820335,4971 Heather Isle,Hopkinsburgh,WA,63502,1965-12-04,60,0,ACTIVE
1766820011,Aaron,Rodriguez,Aaron Rodriguez,aaron.rodriguez@company.com,company.com,2020-07-28,Security Analyst,IT,120676,SENIOR,1766819960,60551 Roger Estates Suite 883,Port Charlesstad,WV,25887,1977-08-05,48,5,ACTIVE
1766820465,Aaron,Wagner,Aaron Wagner,aaron.wagner@company.com,company.com,2025-02-25,Hr Manager,HR,68626,MID,1766819848,02828 Tony Highway,Wallaceborough,GU,45024,1991-01-27,34,0,TERMINATED
1766819990,Aaron,Wang,Aaron Wang,aaron.wang@company.com,company.com,2019-02-07,Sales Manager,SALES,117147,SENIOR,11114,8316 Daniel Village,Brownmouth,MP,55927,1982-02-13,43,6,ACTIVE
1766820109,Abigail,Hooper,Abigail Hooper,abigail.hooper@company.com,company.com,2018-08-20,Systems Administrator,IT,137129,SENIOR,1766819672,69785 Mccarty Cape,Garciaside,IL,76965,1979-06-13,46,7,ACTIVE
1766819847,Abigail,Murphy,Abigail Murphy,abigail.murphy@company.com,company.com,2018-12-14,Product Analyst,ANALYTICS,40135,JUNIOR,1766819778,989 Zachary Harbors,Kaylafort,NM,43809,1986-11-15,39,7,TERMINATED
1766819582,Abigail,Phillips,Abigail Phillips,abigail.phillips@company.com,company.com,2017-03-07,Data Analyst,ANALYTICS,63182,MID,1766819546,873 Bass Tunnel,North Charlesstad,CA,68881,1996-08-25,29,8,TERMINATED
1766819989,Abigail,Smith,Abigail Smith,abigail.smith@company.com,company.com,2020-01-01,Learning & Development Lead,HR,120903,SENIOR,1766819905,10347 Michelle Harbor Apt. 720,Simsside,ME,10284,1982-11-21,43,5,ON LEAVE
1766819781,Adam,Patterson,Adam Patterson,adam.patterson@company.com,company.com,2020-04-22,Business Intelligence Analyst,ANALYTICS,75822,MID,1766819686,4290 Brian Tunnel,Beanchester,OR,33751,1963-01-20,62,5,TERMINATED
1766820796,Adam,Skinner,Adam Skinner,adam.skinner@company.com,company.com,2016-07-21,Business Development Representative,SALES,97972,SENIOR,1766819911,399 Baker Cove Apt. 318,Johnsonmouth,SC,44906,1995-09-21,30,9,ACTIVE
1766820117,Adrienne,Brown,Adrienne Brown,adrienne.brown@company.com,company.com,2024-02-08,Product Analyst,ANALYTICS,78782,MID,1766819842,375 White Hill Apt. 760,West Christinachester,VT,62949,1974-01-16,51,1,ACTIVE
1766819906,Alan,Ortiz,Alan Ortiz,alan.ortiz@company.com,company.com,2021-03-03,Security Analyst,IT,40441,JUNIOR,1766819579,509 Camacho Springs Apt. 366,Snyderville,FL,73474,1978-07-14,47,4,TERMINATED
1766820110,Alan,Randall,Alan Randall,alan.randall@company.com,company.com,2018-01-10,Sales Associate,SALES,120545,SENIOR,1766819622,4898 Lisa Wall,East Eric,MA,68446,1969-02-08,56,7,ON LEAVE
1766819736,Albert,Steele,Albert Steele,albert.steele@company.com,company.com,2016-12-27,Product Analyst,ANALYTICS,106343,SENIOR,1766819718,12781 Stephen Forges Apt. 311,Stephenview,ME,59651,1966-05-17,59,9,ACTIVE
1766819934,Alec,Collins,Alec Collins,alec.collins@company.com,company.com,2018-09-24,Hr Generalist,HR,86042,SENIOR,,70649 Elliott Extension Suite 580,Lake Matthewstad,FL,23264,1960-11-17,65,7,TERMINATED
1766820432,Alejandra,Graves,Alejandra Graves,alejandra.graves@company.com,company.com,2024-07-23,Hr Manager,HR,109793,SENIOR,1766820119,05328 Victoria Locks Suite 081,North Amy,MA,65758,1982-03-20,43,1,ACTIVE
1766819953,Alejandro,Mclean,Alejandro Mclean,alejandro.mclean@company.com,company.com,2022-10-30,Talent Acquisition Specialist,HR,68185,MID,1766819823,054 Patricia Centers,New Stephenville,NJ,25277,1981-06-18,44,3,ACTIVE
1766819654,Alex,Woods,Alex Woods,alex.woods@company.com,company.com,2019-05-26,Business Development Representative,SALES,96146,SENIOR,1766819626,276 Neal Prairie,West Elizabeth,SC,53735,1964-04-29,61,6,TERMINATED
1766819744,Alexandra,Adams,Alexandra Adams,alexandra.adams@company.com,company.com,2024-06-05,Data Engineer,ANALYTICS,103841,SENIOR,1766819534,600 Joe Port Apt. 671,Adamshire,IL,28551,1960-02-17,65,1,ACTIVE
1766820527,Alexandra,Ballard,Alexandra Ballard,alexandra.ballard@company.com,company.com,2024-10-23,Hr Assistant,HR,91719,SENIOR,1766820447,252 Brown Junction Suite 948,South Karenburgh,AK,38657,1964-12-01,61,1,ACTIVE
1766820511,Alexandra,Reid,Alexandra Reid,alexandra.reid@company.com,company.com,2024-01-03,Hr Generalist,HR,144920,SENIOR,11178,852 Jessica Prairie Suite 927,East Edward,GU,2561,1975-02-13,50,1,ON LEAVE
1766819761,Alexandra,Wade,Alexandra Wade,alexandra.wade@company.com,company.com,2017-02-18,It Manager,IT,133056,SENIOR,1766819617,8248 Chang Fall,New Annport,NY,20456,1999-08-19,26,8,ACTIVE
1766820302,Alexis,Mendoza,Alexis Mendoza,alexis.mendoza@company.com,company.com,2017-03-10,Business Development Representative,SALES,132665,SENIOR,1766819680,30577 Andrews Landing,Timothystad,AZ,33380,1965-04-18,60,8,ACTIVE
1766820344,Alexis,Norman,Alexis Norman,alexis.norman@company.com,company.com,2020-02-01,Product Analyst,ANALYTICS,50142,MID,1766819930,7203 Thomas Plains,Kelleychester,OH,12774,1992-01-09,33,5,ACTIVE
1766819581,Alexis,Pope,Alexis Pope,alexis.pope@company.com,company.com,2018-07-10,Devops Engineer,IT,100064,SENIOR,1766819565,7252 Teresa Mission Suite 652,Franklinton,PW,31886,1976-01-01,49,7,ACTIVE
1766820023,Alexis,Tanner,Alexis Tanner,alexis.tanner@company.com,company.com,2019-05-22,It Manager,IT,44782,JUNIOR,1766819555,260 Beard Green Suite 034,East Bradley,TN,9856,1991-08-14,34,6,ACTIVE
1766820260,Alexis,Wilson,Alexis Wilson,alexis.wilson@company.com,company.com,2021-11-12,Talent Acquisition Specialist,HR,60845,MID,1766819916,516 Everett Keys,Emmaland,WI,32348,2000-08-19,25,4,ON LEAVE
1766820119,Alicia,Davila,Alicia Davila,alicia.davila@company.com,company.com,2024-06-13,Sales Manager,SALES,80623,SENIOR,1766819568,0218 Christopher Inlet,South Stephanieport,AS,21340,2003-07-13,22,1,ON LEAVE
1766819978,Alicia,Sexton,Alicia Sexton,alicia.sexton@company.com,company.com,2021-09-29,Business Intelligence Analyst,ANALYTICS,142766,SENIOR,1766819718,89809 Thomas Throughway Apt. 037,South Marcuston,MN,4549,1991-02-15,34,4,ACTIVE
1766820746,Allen,Vaughn,Allen Vaughn,allen.vaughn@company.com,company.com,2017-05-08,It Support Specialist,IT,122959,SENIOR,1766820149,90621 Julie Forks,South Brenda,MS,40784,1984-04-02,41,8,ACTIVE
1766820472,Allison,Bell,Allison Bell,allison.bell@company.com,company.com,2023-06-24,Sales Associate,SALES,95478,SENIOR,1766820282,3181 Antonio Lakes Apt. 342,Jeffreymouth,DE,15574,1972-12-20,53,2,TERMINATED
1766820045,Allison,Benson,Allison Benson,allison.benson@company.com,company.com,2024-01-19,Security Analyst,IT,75426,MID,1766819534,8977 Curry Unions Apt. 838,Sydneyfurt,WA,76402,1965-02-11,60,1,TERMINATED
1766820079,Allison,Holland,Allison Holland,allison.holland@company.com,company.com,2021-10-12,Data Analyst,ANALYTICS,81854,SENIOR,1766819986,922 Kathleen Alley Apt. 713,Robertfort,UT,97005,1966-12-19,59,4,ACTIVE
1766819690,Allison,Perry,Allison Perry,allison.perry@company.com,company.com,2025-10-25,Business Intelligence Analyst,ANALYTICS,138706,SENIOR,1766819577,6615 Michael Corners,North Pamelaside,MN,30235,1992-03-17,33,0,ACTIVE
1766819737,Alyssa,Carrillo,Alyssa Carrillo,alyssa.carrillo@company.com,company.com,2025-08-12,Data Analyst,ANALYTICS,50893,MID,1766819555,77894 Brown Viaduct,Davisburgh,HI,58436,1968-09-17,57,0,ACTIVE
1766820489,Alyssa,Norman,Alyssa Norman,alyssa.norman@company.com,company.com,2019-11-21,It Manager,IT,112129,SENIOR,1766820414,6414 Berry Glen,Wiseside,DC,63496,1996-07-18,29,6,ON LEAVE
