employee_id,first_name,last_name,full_name,email,email_domain,hire_date,job_title,department,salary,salary_band,manager_id,address,city,state,zip_code,birth_date,age,tenure_years,status
1766832274,Aaron,Kim,Aaron Kim,aaron.kim@company.com,company.com,2019-05-30,Hr Manager,HR,104606,SENIOR,1766831998,66751 Tamara Villages,Karenport,DE,27500,1979-11-27,46,6,TERMINATED
1766832260,Aaron,Marshall,Aaron Marshall,aaron.marshall@company.com,company.com,2021-04-13,Sales Associate,SALES,128537,SENIOR,1766831977,3156 Caitlin Terrace,Mahoneyton,LA,95986,1975-11-12,50,4,ACTIVE
1766832090,Aaron,Nichols,Aaron Nichols,aaron.nichols@company.com,company.com,2016-05-21,Hr Manager,HR,87337,SENIOR,11284,1436 Simon Circle Apt. 466,Pachecoborough,IA,63786,1974-03-18,51,9,TERMINATED
1766831819,Aaron,Torres,Aaron Torres,aaron.torres@company.com,company.com,2016-11-19,Hr Generalist,HR,147933,SENIOR,1766831818,3359 Brown Pike,South Cherylborough,CO,12691,2000-11-14,25,9,ACTIVE
1766832739,Aaron,Warren,Aaron Warren,aaron.warren@company.com,company.com,2021-10-13,Security Analyst,IT,42656,JUNIOR,,940 Lindsay Station,East Courtney,UT,47144,1995-11-04,30,4,ACTIVE
1766832370,Abigail,Fernandez,Abigail Fernandez,abigail.fernandez@company.com,company.com,2023-02-26,Data Analyst,ANALYTICS,136578,SENIOR,1766832224,5752 Lee Throughway,Laurenville,NE,15082,1980-02-28,45,2,ACTIVE
1766832044,Abigail,Mckinney,Abigail Mckinney,abigail.mckinney@company.com,company.com,2020-03-12,Product Analyst,ANALYTICS,85241,SENIOR,1766832022,55302 Davis Hollow Apt. 837,Brownfurt,NV,70684,1997-08-15,28,5,ACTIVE
1766832296,Adam,Donovan,Adam Donovan,adam.donovan@company.com,company.com,2018-03-29,Hr Manager,HR,98087,SENIOR,1766831892,3268 Fuller Street Suite 562,Wongview,MP,2740,1994-11-18,31,7,ACTIVE
1766831983,Adam,Hoover,Adam Hoover,adam.hoover@company.com,company.com,2017-03-10,It Support Specialist,IT,67078,MID,1766831972,907 Cummings Haven,Port Nancyshire,NE,81957,1971-06-19,54,8,ACTIVE
1766832802,Adrian,Berry,Adrian Berry,adrian.berry@company.com,company.com,2021-05-01,Systems Administrator,IT,79881,MID,1766831932,538 Russell Throughway,East Lauraland,OR,4299,1974-09-19,51,4,TERMINATED
1766832440,Adrian,Morgan,Adrian Morgan,adrian.morgan@company.com,company.com,2020-11-10,Product Analyst,ANALYTICS,74526,MID,1766832155,3988 Robinson Plain Apt. 684,Kristinville,ME,37455,1987-07-10,38,5,ACTIVE
